USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON
0927eb03804932b4acf1b6609f7e2392eee0f43a,07/11/21 00:00,16,15,0
6f34b57146d9a9afdf7a1f514b8003fc1e2bb61d,11/08/22 00:00,1,1,0
f83dbbee1a4746a8e1218c419a93d553d08b4aad,28/08/21 00:00,1,1,0
f688984cb30d94fe034d4613be1c4d63fe4d2db7,12/02/22 00:00,4,4,0
9c942f04fc02ca231fbe4a07af3d19f1da909315,16/02/22 00:00,4,3,0
214dcb15aa9a5f6a0d841dd32da334055ba405a1,19/07/22 00:00,8,7,0
71c881bc7f34fc66149a35aae39927413fb822b7,08/07/21 00:00,3,3,0
2825e131beb3754f6f2552c59d6fa436aa5d46cb,10/11/21 00:00,2,2,0
2fa5707c590dd8f994ac0e2f10a0f00bb44c3862,23/09/22 00:00,1,1,0
875e375f065117448bd391934086362d7006e26f,18/08/22 00:00,1,1,0
c0dc70a7fe2eaccfa7c287093bdc58a97924a206,22/05/22 00:00,5,5,0
